ticket_id,expected_category,predicted_category,category_confidence,category_correct,mean_field_confidence,num_fields_extracted,error
WIFI-030,wifi_internet,wifi_internet,0.95,True,0.9299999999999999,5,
TEAMS-001,ms_teams,ms_teams,0.95,True,1.0,1,
TEAMS-002,ms_teams,ms_teams,1.0,True,0.975,2,
TEAMS-003,ms_teams,ms_teams,1.0,True,0.975,4,
TEAMS-004,vit_email,ms_teams,0.95,False,0.925,2,
TEAMS-005,ms_teams,ms_teams,1.0,True,1.0,4,
TEAMS-006,ms_teams,ms_teams,1.0,True,0.95,2,
TEAMS-007,ms_teams,ms_teams,0.9,True,0.9,1,
TEAMS-008,ms_teams,ms_teams,1.0,True,0.975,4,
TEAMS-009,ms_teams,ms_teams,0.95,True,0.875,2,
TEAMS-010,ms_teams,ms_teams,0.95,True,0.8500000000000001,2,
TEAMS-011,ms_teams,ms_teams,1.0,True,1.0,2,
TEAMS-012,ms_teams,ms_teams,0.95,True,0.95,1,
TEAMS-013,,ms_teams,0.99,False,0.95,2,
TEAMS-014,ms_teams,ms_teams,0.95,True,0.9499999999999998,3,
TEAMS-015,ms_teams,ms_teams,0.95,True,0.8500000000000001,2,
TEAMS-016,ms_teams,ms_teams,0.9,True,1.0,1,
TEAMS-017,ms_teams,ms_teams,1.0,True,1.0,3,
TEAMS-018,ms_teams,ms_teams,0.95,True,0.95,2,
TEAMS-019,ms_teams,ms_teams,0.95,True,0.925,2,
TEAMS-020,,ms_teams,1.0,False,0.95,2,
TEAMS-021,ms_teams,ms_teams,0.95,True,0.9333333333333332,3,
TEAMS-022,ms_teams,ms_teams,0.95,True,0.95,1,
TEAMS-023,vit_email,ms_teams,1.0,False,1.0,1,
TEAMS-024,ms_teams,ms_teams,1.0,True,1.0,3,
TEAMS-025,ms_teams,ms_teams,0.85,True,0.95,1,
TEAMS-026,ms_teams,ms_teams,1.0,True,,0,
TEAMS-027,ms_teams,ms_teams,0.99,True,0.9499999999999998,3,
TEAMS-028,vit_email,ms_teams,0.95,False,0.9,1,
TEAMS-029,ms_teams,ms_teams,0.95,True,0.9,2,
TEAMS-030,ms_teams,ms_teams,1.0,True,1.0,2,
EMAIL-001,vit_email,vit_email,0.95,True,0.95,1,
EMAIL-002,vit_email,vit_email,0.95,True,0.9166666666666666,3,
EMAIL-003,vit_email,vit_email,0.95,True,0.9499999999999998,3,
EMAIL-004,,vit_email,0.95,False,0.925,2,
EMAIL-005,vit_email,vit_email,0.9,True,0.875,4,
EMAIL-006,vit_email,vit_email,0.95,True,0.875,2,
EMAIL-007,vit_email,vit_email,0.95,True,0.925,2,
EMAIL-008,vit_email,vit_email,0.99,True,0.9480000000000001,5,
EMAIL-009,vit_email,vit_email,0.95,True,0.9,2,
EMAIL-010,vit_email,vit_email,0.95,True,0.9,1,
EMAIL-011,vit_email,vit_email,0.95,True,0.9166666666666666,3,
EMAIL-012,vit_email,vit_email,0.95,True,0.8833333333333333,3,
EMAIL-013,ms_teams,vit_email,0.95,False,0.9,1,
EMAIL-014,vit_email,vit_email,0.95,True,0.9333333333333332,3,
EMAIL-015,vit_email,vit_email,0.95,True,0.95,1,
EMAIL-016,vit_email,vit_email,0.8,True,,0,
EMAIL-017,vit_email,vit_email,0.85,True,0.9466666666666667,3,
EMAIL-018,vit_email,vit_email,0.95,True,0.8999999999999999,2,
EMAIL-019,vit_email,vit_email,0.95,True,0.9333333333333332,3,
EMAIL-020,,vit_email,0.95,False,0.99,1,
EMAIL-021,vit_email,vit_email,0.95,True,0.925,2,
EMAIL-022,vit_email,vit_email,0.95,True,0.925,2,
EMAIL-023,ms_teams,vit_email,0.9,False,0.95,1,
EMAIL-024,vit_email,vit_email,0.95,True,0.9475,4,
EMAIL-025,vit_email,vit_email,0.95,True,0.9,1,
EMAIL-026,vit_email,vit_email,0.95,True,0.9,1,
EMAIL-027,vit_email,vit_email,0.95,True,0.9375,4,
EMAIL-028,,vit_email,0.95,False,1.0,1,
EMAIL-029,vit_email,vit_email,0.95,True,0.925,2,
EMAIL-030,vit_email,vit_email,0.95,True,0.925,2,
ADA-001,ad_account_creation,ad_account_creation,0.75,True,0.95,1,
ADA-002,ad_account_creation,ad_account_creation,0.95,True,0.8875,4,
ADA-003,,vit_email,0.95,False,0.9249999999999999,4,
ADA-004,ad_account_creation,ad_account_creation,0.95,True,0.95,1,
ADA-005,ad_account_creation,ad_account_creation,0.95,True,0.9,1,
ADA-006,ad_account_creation,ad_account_creation,0.9,True,1.0,4,
ADA-007,ad_account_creation,ad_account_creation,0.95,True,0.9,1,
ADA-008,ms_teams,ms_teams,0.95,True,0.925,2,
ADA-009,ad_account_creation,ad_account_creation,0.85,True,0.95,2,
ADA-010,ad_account_creation,ad_account_creation,0.85,True,1.0,3,
ADA-011,ad_account_creation,ad_account_creation,0.85,True,0.95,1,
ADA-012,ad_account_creation,ad_account_creation,0.8,True,0.95,1,
ADA-013,,vit_email,0.95,False,0.9500000000000001,3,
ADA-014,ad_account_creation,ad_account_creation,1.0,True,0.9400000000000001,5,
ADA-015,ad_account_creation,ad_account_creation,0.5,True,0.95,1,
ADA-016,ad_account_creation,ad_account_creation,0.95,True,,0,
ADA-017,ad_account_creation,ad_account_creation,1.0,True,1.0,3,
ADA-018,ad_account_creation,ad_account_creation,0.95,True,0.95,2,
ADA-019,ad_account_creation,wifi_internet,0.9,False,,0,
ADA-020,ad_account_creation,ad_account_creation,0.95,True,0.9374999999999999,4,
ADA-021,ms_teams,ms_teams,0.95,True,0.925,2,
ADA-022,ad_account_creation,ad_account_creation,0.9,True,,0,
ADA-023,ad_account_creation,vit_email,0.85,False,0.95,2,
ADA-024,ad_account_creation,ad_account_creation,0.95,True,0.8500000000000001,2,
ADA-025,ad_account_creation,ad_account_creation,0.85,True,0.925,2,
ADA-026,ad_account_creation,ad_account_creation,1.0,True,0.9333333333333332,3,
ADA-027,ad_account_creation,ad_account_creation,0.9,True,1.0,4,
ADA-028,ad_account_creation,,0.0,False,,0,
ADA-029,,vit_email,0.95,False,0.9125000000000001,4,
ADA-030,ad_account_creation,ad_account_creation,0.8,True,0.95,1,
PRN-001,printer_support,printer_support,0.95,True,0.9,1,
PRN-002,printer_support,printer_support,1.0,True,1.0,7,
PRN-003,printer_support,printer_support,1.0,True,1.0,4,
PRN-004,printer_support,printer_support,0.95,True,0.95,2,
PRN-005,printer_support,printer_support,1.0,True,0.96,5,
PRN-006,printer_support,printer_support,0.99,True,0.9374999999999999,4,
PRN-007,printer_support,printer_support,0.95,True,0.925,2,
PRN-008,ad_account_creation,printer_support,0.95,False,0.925,2,
PRN-009,printer_support,printer_support,1.0,True,0.9666666666666667,3,
PRN-010,printer_support,printer_support,0.95,True,0.9333333333333332,3,
PRN-011,printer_support,printer_support,0.95,True,0.9299999999999999,5,
PRN-012,printer_support,printer_support,0.99,True,0.96,3,
PRN-013,printer_support,printer_support,1.0,True,0.96,5,
PRN-014,printer_support,printer_support,0.95,True,0.9166666666666666,3,
PRN-015,printer_support,printer_support,0.95,True,0.95,1,
PRN-016,printer_support,printer_support,1.0,True,1.0,6,
PRN-017,printer_support,printer_support,0.95,True,0.9333333333333332,3,
PRN-018,printer_support,printer_support,1.0,True,1.0,2,
PRN-019,printer_support,printer_support,1.0,True,0.9249999999999999,6,
PRN-020,printer_support,printer_support,1.0,True,1.0,2,
PRN-021,printer_support,printer_support,1.0,True,1.0,6,
PRN-022,printer_support,printer_support,0.95,True,0.875,2,
PRN-023,wifi_internet,wifi_internet,0.9,True,0.875,5,
PRN-024,printer_support,printer_support,0.95,True,0.9333333333333332,3,
PRN-025,printer_support,printer_support,0.95,True,,0,
PRN-026,printer_support,printer_support,1.0,True,1.0,5,
PRN-027,printer_support,printer_support,0.95,True,0.95,1,
PRN-028,printer_support,printer_support,1.0,True,0.9833333333333334,6,
PRN-029,ad_account_creation,printer_support,0.95,False,0.9333333333333332,3,
PRN-030,printer_support,printer_support,1.0,True,1.0,3,
